epoch;loss;val_loss
0;0.07290627807378769;NA
1;0.05972810462117195;NA
2;0.055230967700481415;NA
3;0.05056129768490791;NA
4;0.04471297562122345;NA
5;0.04114878922700882;NA
6;0.038240812718868256;NA
7;0.03725637495517731;NA
8;0.034856732934713364;NA
9;0.03444692865014076;NA
10;0.03277462348341942;NA
11;0.03353939950466156;NA
12;0.03271748870611191;NA
13;0.031200816854834557;NA
14;0.032060567289590836;NA
15;0.031137242913246155;NA
16;0.031081801280379295;NA
17;0.02990666963160038;NA
18;0.03025152161717415;NA
19;0.030139978975057602;NA
20;0.03040212206542492;NA
21;0.029660895466804504;NA
22;0.02955973893404007;NA
23;0.029322879388928413;NA
24;0.029627986252307892;NA
25;0.0293138325214386;NA
26;0.029569480568170547;NA
27;0.028959261253476143;NA
28;0.029507961124181747;NA
29;0.02911370061337948;NA
30;0.028675761073827744;NA
31;0.028974777087569237;NA
32;0.028280282393097878;NA
33;0.028454849496483803;NA
34;0.028465306386351585;NA
35;0.029089543968439102;NA
36;0.028238816186785698;NA
37;0.02892981842160225;NA
38;0.02835293859243393;NA
39;0.028172753751277924;NA
40;0.028063802048563957;NA
41;0.028415413573384285;NA
42;0.02771941013634205;NA
43;0.027847031131386757;NA
44;0.027802960947155952;NA
45;0.027879755944013596;NA
46;0.02748720906674862;NA
47;0.02787555754184723;NA
48;0.027652189135551453;NA
49;0.027884244918823242;NA
50;0.027494827285408974;NA
51;0.02751418575644493;NA
52;0.028543587774038315;NA
53;0.02721916139125824;NA
54;0.02769297920167446;NA
55;0.027201348915696144;NA
56;0.027896279469132423;NA
57;0.02793731726706028;NA
58;0.027541298419237137;NA
59;0.02733735553920269;NA
60;0.02764650247991085;NA
61;0.0273378174751997;NA
62;0.027313202619552612;NA
63;0.026838837191462517;NA
64;0.02696729451417923;NA
65;0.027525542303919792;NA
66;0.027106942608952522;NA
67;0.027065008878707886;NA
68;0.027368823066353798;NA
69;0.026742134243249893;NA
70;0.026905784383416176;NA
71;0.02701263129711151;NA
72;0.02736152708530426;NA
73;0.02676689624786377;NA
74;0.026915131136775017;NA
75;0.026930013671517372;NA
76;0.02692394331097603;NA
77;0.026573482900857925;NA
78;0.026882996782660484;NA
79;0.02644917741417885;NA
80;0.026280056685209274;NA
81;0.026840148493647575;NA
82;0.026161758229136467;NA
83;0.026728883385658264;NA
84;0.02656286582350731;NA
85;0.02665558084845543;NA
86;0.026621518656611443;NA
87;0.026325613260269165;NA
88;0.026751751080155373;NA
89;0.026759207248687744;NA
90;0.02663465216755867;NA
91;0.026165233924984932;NA
92;0.02611846849322319;NA
93;0.026354221627116203;NA
94;0.02653503231704235;NA
95;0.02701055258512497;NA
96;0.026563718914985657;NA
97;0.026733780279755592;NA
98;0.025895411148667336;NA
99;0.02606986090540886;NA
0;0.0799938291311264;NA
1;0.06058180704712868;NA
2;0.05435321480035782;NA
3;0.04945022612810135;NA
4;0.043967124074697495;NA
5;0.04061082750558853;NA
6;0.03833957761526108;NA
7;0.036648962646722794;NA
8;0.03544251248240471;NA
9;0.034166816622018814;NA
10;0.033898428082466125;NA
11;0.03209986910223961;NA
12;0.03263745829463005;NA
13;0.03258775174617767;NA
14;0.03141214698553085;NA
15;0.03228408470749855;NA
16;0.03148418292403221;NA
17;0.030586136505007744;NA
18;0.030820393934845924;NA
19;0.03027975745499134;NA
20;0.02962000109255314;NA
21;0.02998075634241104;NA
22;0.030159413814544678;NA
23;0.030112601816654205;NA
24;0.029690105468034744;NA
25;0.02969115599989891;NA
26;0.02961568906903267;NA
27;0.029042571783065796;NA
28;0.029787348583340645;NA
29;0.0291905477643013;NA
30;0.028851794078946114;NA
31;0.029607176780700684;NA
32;0.028749752789735794;NA
33;0.02870207279920578;NA
34;0.029221704229712486;NA
35;0.028871294111013412;NA
36;0.028603989630937576;NA
37;0.028571629896759987;NA
38;0.028741348534822464;NA
39;0.02876044623553753;NA
40;0.02787977270781994;NA
41;0.02872508019208908;NA
42;0.02806795947253704;NA
43;0.02847031131386757;NA
44;0.02798418328166008;NA
45;0.028203483670949936;NA
46;0.028429854661226273;NA
47;0.028087791055440903;NA
48;0.028553927317261696;NA
49;0.028193939477205276;NA
50;0.028018498793244362;NA
51;0.02791307307779789;NA
52;0.028396643698215485;NA
53;0.028250794857740402;NA
54;0.027802549302577972;NA
55;0.02747338078916073;NA
56;0.027882466092705727;NA
57;0.027803150936961174;NA
58;0.028050314635038376;NA
59;0.027264036238193512;NA
60;0.027537120506167412;NA
61;0.027962930500507355;NA
62;0.027573266997933388;NA
63;0.02733755111694336;NA
64;0.027296019718050957;NA
65;0.027556035667657852;NA
66;0.027577724307775497;NA
67;0.027072157710790634;NA
68;0.02744014747440815;NA
69;0.027366122230887413;NA
70;0.02741868980228901;NA
71;0.027229195460677147;NA
72;0.026944207027554512;NA
73;0.027313563972711563;NA
74;0.027345702052116394;NA
75;0.02714570239186287;NA
76;0.026750631630420685;NA
77;0.027373075485229492;NA
78;0.02712574228644371;NA
79;0.027177996933460236;NA
80;0.026880640536546707;NA
81;0.026976676657795906;NA
82;0.026965327560901642;NA
83;0.026880407705903053;NA
84;0.027090564370155334;NA
85;0.026859616860747337;NA
86;0.026660000905394554;NA
87;0.02687796764075756;NA
88;0.02692175842821598;NA
89;0.02707468532025814;NA
90;0.0266271885484457;NA
91;0.026811687275767326;NA
92;0.02709764800965786;NA
93;0.02668769098818302;NA
94;0.026532389223575592;NA
95;0.02666899375617504;NA
96;0.026822172105312347;NA
97;0.026684612035751343;NA
98;0.026321960613131523;NA
